GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLCK_GRPA,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,GEOID10
"G53003300220052","2010","Washington","53","King County","033","022005","2",971.00,971,971,1256,"530330220052"
"G53003300220053","2010","Washington","53","King County","033","022005","3",1813.00,1813,1813,1732,"530330220053"
"G53003300220061","2010","Washington","53","King County","033","022006","1",1318.00,1318,1318,1326,"530330220061"
"G53003300220062","2010","Washington","53","King County","033","022006","2",1142.00,1142,1142,1156,"530330220062"
"G53003300220063","2010","Washington","53","King County","033","022006","3",1193.00,1193,1193,1204,"530330220063"
"G53003300221011","2010","Washington","53","King County","033","022101","1",1556.00,1556,1556,1428,"530330221011"
"G53003300221012","2010","Washington","53","King County","033","022101","2",958.00,958,958,904,"530330221012"
"G53003300221013","2010","Washington","53","King County","033","022101","3",1377.00,1377,1377,1589,"530330221013"
"G53003300221014","2010","Washington","53","King County","033","022101","4",878.00,878,878,813,"530330221014"
"G53003300221021","2010","Washington","53","King County","033","022102","1",2112.00,2112,2112,2305,"530330221021"
"G53003300221022","2010","Washington","53","King County","033","022102","2",1069.00,1069,1069,1021,"530330221022"
"G53003300221023","2010","Washington","53","King County","033","022102","3",1095.00,1095,1095,1115,"530330221023"
"G53003300221024","2010","Washington","53","King County","033","022102","4",1010.00,1010,1010,1430,"530330221024"
"G53003300222011","2010","Washington","53","King County","033","022201","1",1083.00,1083,1083,952,"530330222011"
"G53003300222012","2010","Washington","53","King County","033","022201","2",956.00,956,956,862,"530330222012"
"G53003300222013","2010","Washington","53","King County","033","022201","3",1401.00,1401,1401,1410,"530330222013"
